[ 2025-06-28 23:54:25,880] 19 root - INFO - Initiate the data ingestion
[ 2025-06-28 23:54:38,216] 66 root - INFO - Performed train test split on the dataframe
[ 2025-06-28 23:54:38,217] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-28 23:54:38,218] 76 root - INFO - Exporting train and test file path.
[ 2025-06-28 23:54:38,397] 85 root - INFO - Exported train and test file path.
[ 2025-06-28 23:54:38,398] 21 root - INFO - Data initiation Completed
[ 2025-06-28 23:54:38,443] 25 root - INFO - Initiate the data validation
[ 2025-06-28 23:54:38,674] 31 root - INFO - Required number of columns:2
[ 2025-06-28 23:54:38,675] 32 root - INFO - Data frame has columns:31
[ 2025-06-28 23:54:38,676] 31 root - INFO - Required number of columns:2
[ 2025-06-28 23:54:38,676] 32 root - INFO - Data frame has columns:31
[ 2025-06-28 23:54:39,246] 27 root - INFO - data validation completed
