[ 2025-06-28 23:57:38,892] 19 root - INFO - Initiate the data ingestion
[ 2025-06-28 23:57:51,672] 66 root - INFO - Performed train test split on the dataframe
[ 2025-06-28 23:57:51,673] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-28 23:57:51,674] 76 root - INFO - Exporting train and test file path.
[ 2025-06-28 23:57:51,848] 85 root - INFO - Exported train and test file path.
[ 2025-06-28 23:57:51,849] 21 root - INFO - Data initiation Completed
[ 2025-06-28 23:57:51,866] 25 root - INFO - Initiate the data validation
[ 2025-06-28 23:57:52,218] 31 root - INFO - Required number of columns:2
[ 2025-06-28 23:57:52,220] 32 root - INFO - Data frame has columns:31
[ 2025-06-28 23:57:52,222] 31 root - INFO - Required number of columns:2
[ 2025-06-28 23:57:52,222] 32 root - INFO - Data frame has columns:31
[ 2025-06-28 23:57:53,700] 27 root - INFO - data validation completed
